!13C to 13N bdecay
!From ../13c-13n_betadecay.dat compiled by GMP from Schwab et al. 2017
!Experimental data used from Zegers et al. 2008
!
!Log(rhoY)       Log(T)        mu        dQ           Vs           Log(beta-decay-rate)   nu-energy-loss    gamma-energy
!Log(g/cm^3)     Log(K)        erg       erg          erg          Log(1/s)               Log(erg/s)        Log(erg/s)
8.040000       9.300000     0.000000   0.032700     0.0115       -99.999000           -2.022529e+01         -100.00
8.040000       9.350000     0.000000   0.033300     0.0115       -99.999000           -1.882969e+01         -100.00
8.040000       9.400000     0.000000   0.032600     0.0115       -99.999000           -1.755749e+01         -100.00
8.040000       9.450000     0.000000   0.030000     0.0115       -99.999000           -1.639469e+01         -100.00
8.040000       9.500000     0.000000   0.029100     0.0115       -99.999000           -1.532339e+01         -100.00
8.040000       9.550000     0.000000   0.028100     0.0115       -99.999000           -1.433539e+01         -100.00
8.040000       9.600000     0.000000   0.027100     0.0115       -99.999000           -1.342079e+01         -100.00
8.040000       9.650000     0.000000   0.026100     0.0115       -99.999000           -1.257059e+01         -100.00
8.060000       8.000000     0.000000   0.046600     0.0117       -99.999000           -1.057943e+02         -100.00
8.060000       8.050000     0.000000   0.046400     0.0117       -99.999000           -1.057943e+02         -100.00
8.060000       8.100000     0.000000   0.046100     0.0117       -99.999000           -1.057943e+02         -100.00
8.060000       8.150000     0.000000   0.045900     0.0117       -99.999000           -1.057943e+02         -100.00
8.060000       8.200000     0.000000   0.045600     0.0117       -99.999000           -1.057943e+02         -100.00
8.060000       8.250000     0.000000   0.045300     0.0117       -99.999000           -1.057943e+02         -100.00
8.060000       8.300000     0.000000   0.045000     0.0117       -99.999000           -1.057943e+02         -100.00
8.060000       8.350000     0.000000   0.044600     0.0117       -99.999000           -1.057943e+02         -100.00
8.060000       8.400000     0.000000   0.044200     0.0117       -99.999000           -9.810349e+01         -100.00
8.060000       8.450000     0.000000   0.043900     0.0117       -99.999000           -8.871579e+01         -100.00
8.060000       8.500000     0.000000   0.043500     0.0117       -99.999000           -8.032509e+01         -100.00
8.060000       8.550000     0.000000   0.043000     0.0117       -99.999000           -7.282309e+01         -100.00
8.060000       8.600000     0.000000   0.042600     0.0117       -99.999000           -6.611269e+01         -100.00
8.060000       8.650000     0.000000   0.042100     0.0117       -99.999000           -6.010779e+01         -100.00
8.060000       8.700000     0.000000   0.041600     0.0117       -99.999000           -5.473139e+01         -100.00
8.060000       8.750000     0.000000   0.041000     0.0117       -99.999000           -4.991479e+01         -100.00
8.060000       8.800000     0.000000   0.040500     0.0117       -99.999000           -4.559699e+01         -100.00
8.060000       8.850000     0.000000   0.039900     0.0117       -99.999000           -4.172329e+01         -100.00
8.060000       8.900000     0.000000   0.039300     0.0117       -99.999000           -3.824509e+01         -100.00
8.060000       8.950000     0.000000   0.038600     0.0117       -99.999000           -3.511909e+01         -100.00
8.060000       9.000000     0.000000   0.038000     0.0117       -99.999000           -3.230649e+01         -100.00
8.060000       9.050000     0.000000   0.037200     0.0117       -99.999000           -2.977289e+01         -100.00
8.060000       9.100000     0.000000   0.036500     0.0117       -99.999000           -2.748739e+01         -100.00
8.060000       9.150000     0.000000   0.035800     0.0117       -99.999000           -2.542249e+01         -100.00
8.060000       9.200000     0.000000   0.035000     0.0117       -99.999000           -2.355379e+01         -100.00
8.060000       9.250000     0.000000   0.034200     0.0117       -99.999000           -2.185929e+01         -100.00
8.060000       9.300000     0.000000   0.033300     0.0117       -99.999000           -2.031949e+01         -100.00
8.060000       9.350000     0.000000   0.033900     0.0117       -99.999000           -1.891399e+01         -100.00
8.060000       9.400000     0.000000   0.033200     0.0117       -99.999000           -1.763309e+01         -100.00
8.060000       9.450000     0.000000   0.032500     0.0117       -99.999000           -1.645979e+01         -100.00
8.060000       9.500000     0.000000   0.029700     0.0117       -99.999000           -1.538439e+01         -100.00
8.060000       9.550000     0.000000   0.028700     0.0117       -99.999000           -1.439039e+01         -100.00
8.060000       9.600000     0.000000   0.027700     0.0117       -99.999000           -1.347039e+01         -100.00
8.060000       9.650000     0.000000   0.026700     0.0117       -99.999000           -1.261559e+01         -100.00
8.080000       8.000000     0.000000   0.047400     0.0119       -99.999000           -1.057943e+02         -100.00
8.080000       8.050000     0.000000   0.047100     0.0119       -99.999000           -1.057943e+02         -100.00
8.080000       8.100000     0.000000   0.046900     0.0119       -99.999000           -1.057943e+02         -100.00
8.080000       8.150000     0.000000   0.046600     0.0119       -99.999000           -1.057943e+02         -100.00
8.080000       8.200000     0.000000   0.046300     0.0119       -99.999000           -1.057943e+02         -100.00
8.080000       8.250000     0.000000   0.046000     0.0119       -99.999000           -1.057943e+02         -100.00
8.080000       8.300000     0.000000   0.045700     0.0119       -99.999000           -1.057943e+02         -100.00
8.080000       8.350000     0.000000   0.045300     0.0119       -99.999000           -1.057943e+02         -100.00
8.080000       8.400000     0.000000   0.045000     0.0119       -99.999000           -9.884799e+01         -100.00
8.080000       8.450000     0.000000   0.044600     0.0119       -99.999000           -8.937939e+01         -100.00
8.080000       8.500000     0.000000   0.044200     0.0119       -99.999000           -8.091669e+01         -100.00
8.080000       8.550000     0.000000   0.043800     0.0119       -99.999000           -7.335049e+01         -100.00
8.080000       8.600000     0.000000   0.043300     0.0119       -99.999000           -6.658289e+01         -100.00
8.080000       8.650000     0.000000   0.042800     0.0119       -99.999000           -6.052699e+01         -100.00
8.080000       8.700000     0.000000   0.042300     0.0119       -99.999000           -5.510519e+01         -100.00
8.080000       8.750000     0.000000   0.041800     0.0119       -99.999000           -5.024809e+01         -100.00
8.080000       8.800000     0.000000   0.041200     0.0119       -99.999000           -4.589419e+01         -100.00
8.080000       8.850000     0.000000   0.040600     0.0119       -99.999000           -4.198829e+01         -100.00
8.080000       8.900000     0.000000   0.040000     0.0119       -99.999000           -3.848149e+01         -100.00
8.080000       8.950000     0.000000   0.039300     0.0119       -99.999000           -3.532999e+01         -100.00
8.080000       9.000000     0.000000   0.038600     0.0119       -99.999000           -3.249469e+01         -100.00
8.080000       9.050000     0.000000   0.037900     0.0119       -99.999000           -2.994079e+01         -100.00
8.080000       9.100000     0.000000   0.037200     0.0119       -99.999000           -2.763729e+01         -100.00
8.080000       9.150000     0.000000   0.036400     0.0119       -99.999000           -2.555639e+01         -100.00
8.080000       9.200000     0.000000   0.035600     0.0119       -99.999000           -2.367339e+01         -100.00
8.080000       9.250000     0.000000   0.034800     0.0119       -99.999000           -2.196619e+01         -100.00
8.080000       9.300000     0.000000   0.033900     0.0119       -99.999000           -2.041509e+01         -100.00
8.080000       9.350000     0.000000   0.034500     0.0119       -99.999000           -1.899969e+01         -100.00
8.080000       9.400000     0.000000   0.033800     0.0119       -99.999000           -1.770979e+01         -100.00
8.080000       9.450000     0.000000   0.033100     0.0119       -99.999000           -1.652859e+01         -100.00
8.080000       9.500000     0.000000   0.030300     0.0119       -99.999000           -1.544629e+01         -100.00
8.080000       9.550000     0.000000   0.029300     0.0119       -99.999000           -1.444609e+01         -100.00
8.080000       9.600000     0.000000   0.028300     0.0119       -99.999000           -1.352069e+01         -100.00
8.080000       9.650000     0.000000   0.027200     0.0119       -99.999000           -1.266109e+01         -100.00
8.100000       8.000000     0.000000   0.048100     0.0121       -99.999000           -1.057943e+02         -100.00
8.100000       8.050000     0.000000   0.047900     0.0121       -99.999000           -1.057943e+02         -100.00
8.100000       8.100000     0.000000   0.047600     0.0121       -99.999000           -1.057943e+02         -100.00
8.100000       8.150000     0.000000   0.047400     0.0121       -99.999000           -1.057943e+02         -100.00
8.100000       8.200000     0.000000   0.047100     0.0121       -99.999000           -1.057943e+02         -100.00
8.100000       8.250000     0.000000   0.046800     0.0121       -99.999000           -1.057943e+02         -100.00
8.100000       8.300000     0.000000   0.046400     0.0121       -99.999000           -1.057943e+02         -100.00
8.100000       8.350000     0.000000   0.046100     0.0121       -99.999000           -1.057943e+02         -100.00
8.100000       8.400000     0.000000   0.045700     0.0121       -99.999000           -9.960439e+01         -100.00
8.100000       8.450000     0.000000   0.045300     0.0121       -99.999000           -9.005369e+01         -100.00
8.100000       8.500000     0.000000   0.044900     0.0121       -99.999000           -8.151789e+01         -100.00
8.100000       8.550000     0.000000   0.044500     0.0121       -99.999000           -7.388639e+01         -100.00
8.100000       8.600000     0.000000   0.044000     0.0121       -99.999000           -6.706069e+01         -100.00
8.100000       8.650000     0.000000   0.043500     0.0121       -99.999000           -6.095299e+01         -100.00
8.100000       8.700000     0.000000   0.043000     0.0121       -99.999000           -5.548489e+01         -100.00
8.100000       8.750000     0.000000   0.042500     0.0121       -99.999000           -5.058669e+01         -100.00
8.100000       8.800000     0.000000   0.041900     0.0121       -99.999000           -4.619609e+01         -100.00
8.100000       8.850000     0.000000   0.041300     0.0121       -99.999000           -4.225759e+01         -100.00
8.100000       8.900000     0.000000   0.040700     0.0121       -99.999000           -3.872169e+01         -100.00
8.100000       8.950000     0.000000   0.040000     0.0121       -99.999000           -3.554429e+01         -100.00
8.100000       9.000000     0.000000   0.039300     0.0121       -99.999000           -3.268589e+01         -100.00
8.100000       9.050000     0.000000   0.038600     0.0121       -99.999000           -3.011149e+01         -100.00
8.100000       9.100000     0.000000   0.037900     0.0121       -99.999000           -2.778959e+01         -100.00
8.100000       9.150000     0.000000   0.037100     0.0121       -99.999000           -2.569239e+01         -100.00
8.100000       9.200000     0.000000   0.036300     0.0121       -99.999000           -2.379489e+01         -100.00
8.100000       9.250000     0.000000   0.035400     0.0121       -99.999000           -2.207479e+01         -100.00
8.100000       9.300000     0.000000   0.034600     0.0121       -99.999000           -2.051219e+01         -100.00
8.100000       9.350000     0.000000   0.033700     0.0121       -99.999000           -1.908939e+01         -100.00
8.100000       9.400000     0.000000   0.034400     0.0121       -99.999000           -1.778769e+01         -100.00
8.100000       9.450000     0.000000   0.033700     0.0121       -99.999000           -1.659849e+01         -100.00
8.100000       9.500000     0.000000   0.030900     0.0121       -99.999000           -1.550909e+01         -100.00
8.100000       9.550000     0.000000   0.029900     0.0121       -99.999000           -1.450259e+01         -100.00
8.100000       9.600000     0.000000   0.028800     0.0121       -99.999000           -1.357169e+01         -100.00
8.100000       9.650000     0.000000   0.027800     0.0121       -99.999000           -1.270719e+01         -100.00
8.120000       8.000000     0.000000   0.048900     0.0122       -99.999000           -1.057943e+02         -100.00
8.120000       8.050000     0.000000   0.048700     0.0122       -99.999000           -1.057943e+02         -100.00
8.120000       8.100000     0.000000   0.048400     0.0122       -99.999000           -1.057943e+02         -100.00
8.120000       8.150000     0.000000   0.048100     0.0122       -99.999000           -1.057943e+02         -100.00
8.120000       8.200000     0.000000   0.047800     0.0122       -99.999000           -1.057943e+02         -100.00
8.120000       8.250000     0.000000   0.047500     0.0122       -99.999000           -1.057943e+02         -100.00
8.120000       8.300000     0.000000   0.047200     0.0122       -99.999000           -1.057943e+02         -100.00
8.120000       8.350000     0.000000   0.046900     0.0122       -99.999000           -1.057943e+02         -100.00
8.120000       8.400000     0.000000   0.046500     0.0122       -99.999000           -1.003730e+02         -100.00
8.120000       8.450000     0.000000   0.046100     0.0122       -99.999000           -9.073879e+01         -100.00
8.120000       8.500000     0.000000   0.045700     0.0122       -99.999000           -8.212859e+01         -100.00
8.120000       8.550000     0.000000   0.045200     0.0122       -99.999000           -7.443079e+01         -100.00
8.120000       8.600000     0.000000   0.044800     0.0122       -99.999000           -6.754609e+01         -100.00
8.120000       8.650000     0.000000   0.044300     0.0122       -99.999000           -6.138569e+01         -100.00
8.120000       8.700000     0.000000   0.043800     0.0122       -99.999000           -5.587079e+01         -100.00
8.120000       8.750000     0.000000   0.043200     0.0122       -99.999000           -5.093079e+01         -100.00
8.120000       8.800000     0.000000   0.042600     0.0122       -99.999000           -4.650289e+01         -100.00
8.120000       8.850000     0.000000   0.042000     0.0122       -99.999000           -4.253129e+01         -100.00
8.120000       8.900000     0.000000   0.041400     0.0122       -99.999000           -3.896579e+01         -100.00
8.120000       8.950000     0.000000   0.040700     0.0122       -99.999000           -3.576199e+01         -100.00
8.120000       9.000000     0.000000   0.040000     0.0122       -99.999000           -3.288009e+01         -100.00
8.120000       9.050000     0.000000   0.039300     0.0122       -99.999000           -3.028479e+01         -100.00
8.120000       9.100000     0.000000   0.038500     0.0122       -99.999000           -2.794439e+01         -100.00
8.120000       9.150000     0.000000   0.037800     0.0122       -99.999000           -2.583059e+01         -100.00
8.120000       9.200000     0.000000   0.036900     0.0122       -99.999000           -2.391839e+01         -100.00
8.120000       9.250000     0.000000   0.036100     0.0122       -99.999000           -2.218509e+01         -100.00
8.120000       9.300000     0.000000   0.035200     0.0122       -99.999000           -2.061089e+01         -100.00
8.120000       9.350000     0.000000   0.034300     0.0122       -99.999000           -1.917769e+01         -100.00
8.120000       9.400000     0.000000   0.035100     0.0122       -99.999000           -1.786679e+01         -100.00
8.120000       9.450000     0.000000   0.034300     0.0122       -99.999000           -1.666949e+01         -100.00
8.120000       9.500000     0.000000   0.031500     0.0122       -99.999000           -1.557279e+01         -100.00
8.120000       9.550000     0.000000   0.030500     0.0122       -99.999000           -1.455999e+01         -100.00
8.120000       9.600000     0.000000   0.029400     0.0122       -99.999000           -1.362339e+01         -100.00
8.120000       9.650000     0.000000   0.028400     0.0122       -99.999000           -1.275399e+01         -100.00
8.140000       8.000000     0.000000   0.049700     0.0124       -99.999000           -1.057943e+02         -100.00
8.140000       8.050000     0.000000   0.049400     0.0124       -99.999000           -1.057943e+02         -100.00
8.140000       8.100000     0.000000   0.049200     0.0124       -99.999000           -1.057943e+02         -100.00
8.140000       8.150000     0.000000   0.048900     0.0124       -99.999000           -1.057943e+02         -100.00
8.140000       8.200000     0.000000   0.048600     0.0124       -99.999000           -1.057943e+02         -100.00
8.140000       8.250000     0.000000   0.048300     0.0124       -99.999000           -1.057943e+02         -100.00
8.140000       8.300000     0.000000   0.048000     0.0124       -99.999000           -1.057943e+02         -100.00
8.140000       8.350000     0.000000   0.047600     0.0124       -99.999000           -1.057943e+02         -100.00
8.140000       8.400000     0.000000   0.047300     0.0124       -99.999000           -1.011539e+02         -100.00
8.140000       8.450000     0.000000   0.046900     0.0124       -99.999000           -9.143499e+01         -100.00
8.140000       8.500000     0.000000   0.046400     0.0124       -99.999000           -8.274919e+01         -100.00
8.140000       8.550000     0.000000   0.046000     0.0124       -99.999000           -7.498409e+01         -100.00
8.140000       8.600000     0.000000   0.045500     0.0124       -99.999000           -6.803929e+01         -100.00
8.140000       8.650000     0.000000   0.045000     0.0124       -99.999000           -6.182539e+01         -100.00
8.140000       8.700000     0.000000   0.044500     0.0124       -99.999000           -5.626279e+01         -100.00
8.140000       8.750000     0.000000   0.044000     0.0124       -99.999000           -5.128029e+01         -100.00
8.140000       8.800000     0.000000   0.043400     0.0124       -99.999000           -4.681469e+01         -100.00
8.140000       8.850000     0.000000   0.042800     0.0124       -99.999000           -4.280919e+01         -100.00
8.140000       8.900000     0.000000   0.042100     0.0124       -99.999000           -3.921369e+01         -100.00
8.140000       8.950000     0.000000   0.041400     0.0124       -99.999000           -3.598309e+01         -100.00
8.140000       9.000000     0.000000   0.040700     0.0124       -99.999000           -3.307749e+01         -100.00
8.140000       9.050000     0.000000   0.040000     0.0124       -99.999000           -3.046089e+01         -100.00
8.140000       9.100000     0.000000   0.039200     0.0124       -99.999000           -2.810149e+01         -100.00
8.140000       9.150000     0.000000   0.038500     0.0124       -99.999000           -2.597089e+01         -100.00
8.140000       9.200000     0.000000   0.037600     0.0124       -99.999000           -2.404369e+01         -100.00
8.140000       9.250000     0.000000   0.036800     0.0124       -99.999000           -2.229719e+01         -100.00
8.140000       9.300000     0.000000   0.035900     0.0124       -99.999000           -2.071109e+01         -100.00
8.140000       9.350000     0.000000   0.035000     0.0124       -99.999000           -1.926729e+01         -100.00
8.140000       9.400000     0.000000   0.035700     0.0124       -99.999000           -1.794709e+01         -100.00
8.140000       9.450000     0.000000   0.035000     0.0124       -99.999000           -1.674149e+01         -100.00
8.140000       9.500000     0.000000   0.032100     0.0124       -99.999000           -1.563749e+01         -100.00
